pressurec2,energy_densityc2,baryon_density,cs2c2
4.521792417000000000e+11,7.593823446000000000e+13,7.593214985000000000e+13,1.550926871164148499e-02
4.670234388000000000e+11,7.686177628000000000e+13,7.685008550000000000e+13,1.670757631958525585e-02
4.823549431000000000e+11,7.774718003000000000e+13,7.772994093000000000e+13,1.799643284932278542e-02
4.981897519000000000e+11,7.859627155000000000e+13,7.857354195000000000e+13,1.937388365476003932e-02
5.145443878000000000e+11,7.941117301000000000e+13,7.938300786000000000e+13,2.083390202883733666e-02
5.314359158000000000e+11,8.019432815000000000e+13,8.016077625000000000e+13,2.236537848882421547e-02
5.488819610000000000e+11,8.094850031000000000e+13,8.090960075000000000e+13,2.395046354898194146e-02
5.669007271000000000e+11,8.167682006000000000e+13,8.163259803000000000e+13,2.556306418063639813e-02
5.855110156000000000e+11,8.238280595000000000e+13,8.233326798000000000e+13,2.716891806817654104e-02
6.047322449000000000e+11,8.307035826000000000e+13,8.301548710000000000e+13,2.872563128891672535e-02
6.245844712000000000e+11,8.374378474000000000e+13,8.368353360000000000e+13,3.018403197395083670e-02
6.450884089000000000e+11,8.440779840000000000e+13,8.434208470000000000e+13,3.149140008070017149e-02
6.662654525000000000e+11,8.506751836000000000e+13,8.499621700000000000e+13,3.259589302337707883e-02
6.881376986000000000e+11,8.572845800000000000e+13,8.565139413000000000e+13,3.345180967297706198e-02
7.107279697000000000e+11,8.639651601000000000e+13,8.631345733000000000e+13,3.402483204555678542e-02
7.340598370000000000e+11,8.707795655000000000e+13,8.698860523000000000e+13,3.429692811453848716e-02
7.581576458000000000e+11,8.777936087000000000e+13,8.768334530000000000e+13,3.426962682857173648e-02
7.830465404000000000e+11,8.850754451000000000e+13,8.840441131000000000e+13,3.396539044602480545e-02
8.087524909000000000e+11,8.926939496000000000e+13,8.915860214000000000e+13,3.342584220291495989e-02
8.353023195000000000e+11,9.007166274000000000e+13,8.995257462000000000e+13,3.270775902144350961e-02
8.627237292000000000e+11,9.092063359000000000e+13,9.079251917000000000e+13,3.187830219330509141e-02
8.910453325000000000e+11,9.182170121000000000e+13,9.168373751000000000e+13,3.100896266821938016e-02
9.202966809000000000e+11,9.277886385000000000e+13,9.263014569000000000e+13,3.017044386067288878e-02
9.505082962000000000e+11,9.379415086000000000e+13,9.363370879000000000e+13,2.942928527232657743e-02
9.817117023000000000e+11,9.486704982000000000e+13,9.469387716000000000e+13,2.884524352387569934e-02
1.013939458000000000e+12,9.599408314000000000e+13,9.580717138000000000e+13,2.847025480697822769e-02
1.047225190000000000e+12,9.716859590000000000e+13,9.696697659000000000e+13,2.834943738130497534e-02
